director_id,name,profile_path,gender
7879,John Lasseter,/7EdqiNbr4FRjIhKHyPPdFfEEEFG.jpg,2
4945,Joe Johnston,/fok4jaO62v5IP6hkpaaAcXuw2H.jpg,2
26502,Howard Deutch,/68Vae1HkU1NxQZ6KEmuxIpno7c9.jpg,2
56106,Charles Shyer,/hnWGd74CbmTcDCFQiJ8SYLazIXW.jpg,2
638,Michael Mann,/nKmUpRpuQIsYubR7vIxVKhkbaTW.jpg,2
2226,Sydney Pollack,/zxkoU2diKtvarV1Qk4z9He2lJj9.jpg,2
37710,Peter Hyams,/dAuDsStGGlUESaaAYQf0GCE2JWo.jpg,2
10702,Martin Campbell,/qhx0AySf8yH3kiHrinWknUJbr1y.jpg,2
3026,Rob Reiner,/2zw9Iq9uo4vZiTQNQWdNFwbA1TA.jpg,2
14639,Mel Brooks,/ndFo3LOYNCUghQTK833N1Wtuynr.jpg,2
21879,Simon Wells,/sfartDj5d9bclP91YuunnaL7Fer.jpg,2
1152,Oliver Stone,/uHdNGBkrI74eYfUP2Uie7nuo0Nn.jpg,2
16938,Renny Harlin,/lOCRZzC1UZfkObWpQtKxga5ZV8F.jpg,2
1032,Martin Scorsese,/4Xwx5XL1RJj0JQmEo8Fhr6nkpOg.jpg,2
1614,Ang Lee,/uTX0uIBLl3JIQunuAMDRHLorffh.jpg,2
3110,Allison Anders,/rsfxpcNEdmNqZyNcct0J695LhBK.jpg,1
4489,Steve Oedekerk,/qUkJ4GbyAdloVjVxCUlxLT23wIe.jpg,2
52629,Joseph Ruben,,2
5174,Barry Sonnenfeld,/m8vIfbXI44Fd8VK7HSJRisYQjQc.jpg,2
15148,Jon Amiel,/tZf4VLvFobxizCzDQ6xQdygGT9.jpg,2
7187,Richard Donner,/2G0gyLVJzLmRl4W3sFyaVfxppJJ.jpg,2
56349,Victor Salva,/4E9UY4sm2n28iQXIAiKrrwenezp.jpg,2
6111,Mike Figgis,/nIaxYZkNX6j70VQyHwzed1QxOXD.jpg,2
15798,Lesli Linka Glatter,/8F13UPsRnXWTDcp8iA3ZXMtfJa3.jpg,1
2419,Jean-Pierre Jeunet,/u3QmPbF9gdTTLsAHS97ic93gg6S.jpg,2
60295,John N. Smith,,2
280,Terry Gilliam,/cFno5isSPvfPEkSdVoEzOs0pJCh.jpg,2
58137,Chris Noonan,/srA6cz8Lis3GutJm66IIYyefQCu.jpg,2
504,Tim Robbins,/7pirFsBQe93TSfzu404Hgcj1YWj.jpg,2
17167,Andy Tennant,/9gK8xFzybwDnWENijTdDHiP4M6o.jpg,2
57434,Amy Heckerling,/c68tZT9Be1triBbKmSOKCS3dsBI.jpg,1
33315,Richard Loncraine,/j700yY5SyI1EZegFpL4h77Otu5W.jpg,2
11447,Albert Hughes,/cZpZYwtjYoHb90vJbycOKKH8hpg.jpg,2
52405,Michael Hoffman,/xrMI8tNQgHws3o3Ku5cdH3ayXZx.jpg,2
