genre_id,name
10751,Family
16,Animation
12,Adventure
35,Comedy
28,Action
14,Fantasy
10749,Romance
80,Crime
878,Science Fiction
53,Thriller
9648,Mystery
18,Drama
10752,War
27,Horror
37,Western
36,History
10770,TV Movie
10402,Music
99,Documentary
10769,Foreign
