collection_id,name,poster_path,backdrop_path
748,X-Men Collection,/1Zo4J5SAni8lyXt7NxJwJZ0f0ip.jpg,/Abnosho2v3bcdvDww6T7Hfeczm1.jpg
391860,Kingsman Collection,/2WjphvZVZQeQfOZeZrBmFUGXmXp.jpg,/8XZnIWG7on74SaJ6t23kdPOYXUG.jpg
86110,Diary of a Wimpy Kid Collection,/4Miizfzuds4ldROTff9vB0Z3EId.jpg,/hTbw2nLM44eE5m7ZIIXodcoDR1X.jpg
283579,Divergent Collection,/nXuCj7NcsC2bPJlwD6t2l9ZTDnt.jpg,/uExS9jcaFBM1wJhkn1Q1P0MFpv6.jpg
256322,The Purge Collection,/nP3c8mTSxlis4vfg0UjlkK8LRG9.jpg,/quFWGOA4I5KCTsyDbvLh6PHNZwv.jpg
422834,Ant-Man Collection,/lEdpEJWJdtVLgmpPkXSTd2xczmY.jpg,/2KjtWUBiksmN8LsUouaZnxocu5N.jpg
137696,"Monsters, Inc. Collection",/8xHtCUKfre8b4tkpUWU1y67Cnqr.jpg,/uzKkKhTWGSEdsN2rYanJTVAyTLi.jpg
416468,World War Z Collection,/gDObITaWQUaS9Par6ntLyvq1JrK.jpg,
264,Back to the Future Collection,/UV8VEgAxgKVnCVnZhFACmhxjE4.jpg,/c9C9Pg2QctyjZHRmS0P8rZg1OTA.jpg
137697,Finding Nemo Collection,/xwggrEugjcJDuabIWvK2CpmK91z.jpg,/2hC8HHRUvwRljYKIcQDMyMbLlxz.jpg
2883,Kill Bill Collection,/tf1nUtw3LJGUGv1EFFi23iz6ngr.jpg,/oCLKNACMNrEf4T1EP6BpMXDl5m1.jpg
86119,The Hangover Collection,/aMmNLuyXvdBih1R5RRHtdtNaS6N.jpg,/uEtsf26a9RsRDy85MOIv1xAj44x.jpg
645,James Bond Collection,/HORpg5CSkmeQlAolx3bKMrKgfi.jpg,/6VcVl48kNKvdXOZfJPdarlUGOsk.jpg
14563,The Ring Collection,/500xj7l72BojMZ3tNBJY46tg5YJ.jpg,/jXlFymc442CEMB5h3d62GeJefnW.jpg
10455,Child's Play Collection,/50aqbDvbOtdlZrje6Qk4ZvKM7dM.jpg,/AAhYXBVIEl6WgQnzfBsauTIC25.jpg
386382,Frozen Collection,/dIaff79mnD2rf1LGkUfWYyZUSZj.jpg,/vZiqhw6oFoMlHSneIdVip9rRou2.jpg
1733,The Mummy Collection,/4UMn5KmXopgpkC862Ms3t5j1sXl.jpg,/1BeKi6IytbfQlQocJSvP2k6sO1a.jpg
180546,Grown Ups Collection,/8m9PIgdP6Nj18P3thsyI70qs76s.jpg,/jKtFxygwI6qNoyR7LhPczWCbvTh.jpg
131292,Iron Man Collection,/fbeJ7f0aD4A112Bc1tnpzyn82xO.jpg,/rI8zOWkRQJdlAyQ6WJOSlYK6JxZ.jpg
169452,DragonHeart Collection,/bZsqwJnO65wlZ3ez7dopUQMYALY.jpg,/hRucBWgzCc7iA9avUE2k5gc7dkj.jpg
656,Saw Collection,/xmC2A7qPEfiOkQC58fZh8srWQ5v.jpg,/oLfS1lOmN2KIU2IQ200SDEPVEZe.jpg
153010,Beauty and the Beast Collection,/mIzZxNAT1GIFaEoPYdJsUKC23Oj.jpg,/obOhJ6VC1IGvlxQYLp1KmjrTbt5.jpg
8091,Alien Collection,/iVzIeC3PbG9BtDAudpwSNdKAgh6.jpg,/kB0Y3uGe9ohJa59Lk8UO9cUOxGM.jpg
402074,Annabelle Collection,/zJfExJWUgugWziREAikeAW69poY.jpg,/AbTHMNaeUO8rUcRZf5J6MRfZE6v.jpg
97459,The Jungle Book Collection,/uwtMVtIFZy7dfQrR7brKHoDN5H6.jpg,/b1T7EU7e5XuYHz35iiA0eLg0yKp.jpg
4438,The Space Odyssey Series,/i1WdRtc6aObiwGz5NU8WWPW3r1N.jpg,/15FumSExI9SRoL7QJWZAsA0b10c.jpg
401562,Teenage Mutant Ninja Turtles (Remake) Collection,/i3DywIl37k83YXWreQGIcWNF7kL.jpg,/tfpOdV9gvqbGJEeLGSu5X1vOLKV.jpg
468222,The Incredibles Collection,/p5E9owiVpQqAoSEl1VpcC4i5z8Q.jpg,/9eDW2dVhnzPS2HvaRdK2OlAGaLq.jpg
