movie_id,genre_id
36557,12
36557,28
36557,53
9325,10751
9325,16
9325,12
345922,35
396535,28
396535,27
396535,53
280,28
280,53
280,878
62,878
62,9648
62,12
98566,878
98566,28
98566,12
98566,14
98566,35
158852,12
158852,10751
158852,9648
158852,878
20352,16
20352,10751
9806,28
9806,12
9806,16
9806,10751
13448,53
13448,9648
270946,10751
270946,16
270946,12
270946,35
620,35
620,14
1726,28
1726,878
1726,12
630,12
630,10751
630,14
118,12
118,35
118,10751
118,14
207933,53
862,16
862,35
862,10751
45243,35
340677,80
340677,18
340677,53
314095,28
314095,12
314095,18
314095,36
679,27
679,28
679,53
679,878
857,18
857,36
857,10752
11321,18
8587,10751
8587,16
8587,18
157350,12
157350,28
157350,878
393,28
393,80
393,53
10491,9648
10491,18
10491,53
10491,10749
10491,10752
357096,27
357096,53
76757,878
76757,14
76757,28
76757,12
675,12
675,14
675,10751
675,9648
8358,12
8358,18
242582,80
242582,18
242582,53
20526,12
20526,28
20526,878
277216,18
277216,10402
10674,16
10674,10751
10674,12
257344,28
257344,35
257344,878
28468,10749
28468,18
2501,28
2501,18
2501,9648
2501,53
324786,18
324786,36
324786,10752
1402,18
227159,35
455661,10751
455661,16
455661,10749
455661,35
296,28
296,53
296,878
197,28
197,18
197,36
197,10752
14,18
420648,27
420648,53
420648,35
203835,53
203835,27
273477,35
273477,27
180,28
180,53
180,878
180,9648
188927,28
188927,12
188927,878
57158,12
57158,14
277,14
277,28
277,53
189,80
189,53
49026,28
49026,80
49026,18
49026,53
254128,28
254128,18
254128,53
2062,16
2062,35
2062,10751
2062,14
418078,27
418078,9648
418078,53
109491,14
109491,18
109491,10749
101,53
101,80
101,18
2502,28
2502,18
2502,53
270303,27
270303,53
15163,18
273248,80
273248,18
273248,9648
273248,37
37724,28
37724,12
37724,53
274870,12
274870,18
274870,10749
274870,878
744,28
744,10749
744,10752
293768,18
293768,53
752,28
752,53
752,14
278154,12
278154,16
278154,10751
278154,35
76812,53
335797,16
335797,35
335797,18
335797,10751
335797,10402
70160,878
70160,12
70160,14
346672,28
346672,14
346672,27
17774,28
17774,53
497,14
497,18
497,80
326285,18
146,12
146,18
146,28
146,10749
259695,80
259695,18
646,12
646,28
646,53
74,12
74,53
74,878
207,18
85,12
85,28
5968,35
5968,10749
640,18
640,80
10585,27
10585,53
301875,18
301875,10749
301875,878
150689,10749
150689,14
150689,10751
150689,18
68718,18
68718,37
254,12
254,18
254,28
578,27
578,53
578,12
313369,35
313369,18
313369,10402
313369,10749
12271,18
225574,28
225574,53
225574,9648
72105,35
72105,14
197796,14
197796,10749
694,27
694,53
184315,28
184315,12
616,18
616,28
616,10752
616,36
10679,28
10679,35
10679,878
181533,12
181533,35
181533,14
181533,10751
37686,53
37686,878
37686,9648
11532,28
11532,12
11532,18
273481,28
273481,80
273481,18
273481,9648
273481,53
1891,12
1891,28
1891,878
102651,14
102651,12
102651,28
